Sample name	shannon	part	type	family
R.101	8.955	Endosp.	Desert steppe	Stipa
R.103	3.675	Endosp.	Desert steppe	other
R.112	9.751	Endosp.	Temperate grassland	Stipa
R.113	9.036	Endosp.	Temperate grassland	Stipa
R.14	5.624	Endosp.	Warm-temperate grassland	Stipa
R.16	4.492	Endosp.	Warm-temperate grassland	Artemisia Linn.
R.21	9.445	Endosp.	Warm-temperate grassland	Agropyron
R.24	3.934	Endosp.	Temperate grassland	Artemisia Linn.
R.243	8.503	Endosp.	Temperate grassland	Agropyron
R.245	10.251	Endosp.	Temperate grassland	Stipa
R.246	9.441	Endosp.	Temperate grassland	Agropyron
R.247	8.61	Endosp.	Temperate grassland	Agropyron
R.24G	4.132	Endosp.	Temperate grassland	Artemisia Linn.
R.25	8.207	Endosp.	Temperate grassland	Stipa
R.252	9.189	Endosp.	Desert steppe	Stipa
R.253	8.241	Endosp.	Desert steppe	Reaumuria Linn.
R.260	3.063	Endosp.	Desert steppe	Stipa
R.27	10.194	Endosp.	Temperate grassland	Agropyron
R.313	8.241	Endosp.	Desert steppe	Agropyron
R.36	9.533	Endosp.	Temperate grassland	Stipa
R.4	8.799	Endosp.	Warm-temperate grassland	other
R.416	7.611	Endosp.	Desert steppe	Reaumuria Linn.
R.418	5.943	Endosp.	Desert steppe	Reaumuria Linn.
R.419	4.531	Endosp.	Desert steppe	Artemisia Linn.
R.41B	6.162	Endosp.	Temperate grassland	other
R.41D	7.552	Endosp.	Temperate grassland	Stipa
R.42	10.002	Endosp.	Temperate grassland	Agropyron
R.420	10.117	Endosp.	Desert steppe	Stipa
R.424	10.354	Endosp.	Desert steppe	Agropyron
R.488	3.297	Endosp.	Warm-temperate grassland	Artemisia Linn.
R.50	4.125	Endosp.	Temperate grassland	Artemisia Linn.
R.512	5.927	Endosp.	Warm-temperate grassland	Artemisia Linn.
R.513	5.758	Endosp.	Warm-temperate grassland	Artemisia Linn.
R.514	3.264	Endosp.	Warm-temperate grassland	Artemisia Linn.
R.517	4.737	Endosp.	Warm-temperate grassland	Artemisia Linn.
R.524	9.159	Endosp.	Temperate grassland	Artemisia Linn.
