pc vector number	part	type	shu	ke	pc vector number	PC1	PC2			
R.101	4Endosp.	Desert steppe	Stipa	Gramineae	R.101	-0.052961576	-0.040856415			
R.103	4Endosp.	Desert steppe	other	other	R.103	-0.233950677	-0.088102949			
R.112	4Endosp.	Temperate grassland	Stipa	Gramineae	R.112	-0.093508105	0.025396465			
R.113	4Endosp.	Temperate grassland	Stipa	Gramineae	R.113	-0.107488438	-0.002278945			
R.14	4Endosp.	Warm-temperate grassland	Stipa	Gramineae	R.14	-0.536500372	0.241223627			
R.16	4Endosp.	Warm-temperate grassland	Artemisia Linn.	other	R.16	-0.551284685	0.273696957			
R.21	4Endosp.	Warm-temperate grassland	Agropyron	Gramineae	R.21	-0.228460746	-0.089700291			
R.24	4Endosp.	Temperate grassland	Artemisia Linn.	Asteraceae	R.24	-0.57563914	0.284209199			
R.243	4Endosp.	Temperate grassland	Agropyron	Gramineae	R.243	-0.171145045	-0.0413253			
R.245	4Endosp.	Temperate grassland	Stipa	Gramineae	R.245	-0.070487727	0.020465567			
R.246	4Endosp.	Temperate grassland	Agropyron	Gramineae	R.246	-0.312518206	-0.164513109			
R.247	4Endosp.	Temperate grassland	Agropyron	Gramineae	R.247	-0.195954254	-0.02687171			
R.24G	4Endosp.	Temperate grassland	Artemisia Linn.	Asteraceae	R.24G	-0.566919191	0.252465852			
R.25	4Endosp.	Temperate grassland	Stipa	Gramineae	R.25	-0.178994748	-0.116974686			
R.252	4Endosp.	Desert steppe	Stipa	Gramineae	R.252	-0.250889973	-0.108032456			
R.253	4Endosp.	Desert steppe	Reaumuria Linn.	other	R.253	-0.170574444	-0.112370682			
R.260	4Endosp.	Desert steppe	Stipa	Gramineae	R.260	-0.259821195	-0.113451895			
R.27	4Endosp.	Temperate grassland	Agropyron	Gramineae	R.27	-0.144268949	-0.042911912			
R.313	4Endosp.	Desert steppe	Agropyron	Gramineae	R.313	-0.243368008	-0.111503964			
R.36	4Endosp.	Temperate grassland	Stipa	Gramineae	R.36	-0.078380713	0.005861058			
R.4	4Endosp.	Warm-temperate grassland	other	Gramineae	R.4	-0.284684422	0.007579375			
R.416	4Endosp.	Desert steppe	Reaumuria Linn.	other	R.416	-0.280250975	-0.188959043			
R.418	4Endosp.	Desert steppe	Reaumuria Linn.	other	R.418	-0.249658076	-0.130304242			
R.419	4Endosp.	Desert steppe	Artemisia Linn.	Asteraceae	R.419	-0.568632077	0.277062314			
