otuId	R.101	R.103	R.112	R.113	R.14	R.16	R.21	R.24	R.243	R.245	R.246	R.247	R.24G	R.25	R.252	R.253	R.260	R.27	R.313	R.36	R.4	R.416	R.418	R.419	R.41B	R.41D	R.42	R.420	R.424	R.488	R.50	R.512	R.513	R.514	R.517	R.524	R.526	R.527	R.534	R.542	R.55	R.558	R.56	R.563	R.565	R.566	R.567	R.569C	R.569Z	R.57	R.570	R.571	R.575	R.577	R.578	R.579	R.58	R.585	R.585T	R.59	R.6	R.60	R.600	R.61	R.67	R.69	R.72	R.74	R.76	R.79	R.82	R.87	R.88	R.9	R.90	R.91	R.93	R.94	R.B001	R.B002	R.B003	R.B583
OTU_1	0	0	0	0	0.000179893	0.000282689	0	0.000282689	0	0	0	0	0.000334087	0	5.14E-05	0	0	0	0	0	0	0	0	0.000668174	0	0	0	0	0	0.000822368	0.001130757	0.000334087	0.00105366	0.000591077	0.000848067	0	0	0.000796669	0	0	0.000539679	0.000359786	0	0.000462582	0.000616776	0.000668174	0	0	0	2.57E-05	0.000873766	0.000385485	0.000873766	0.000719572	0.000436883	0	0.00025699	0.000154194	0.000642475	0.000411184	0	0	0.000899465	0.000154194	0	0	0.000334087	0.000179893	0	0.000308388	5.14E-05	0	0	0	0	0	0	0	0	0	0	0
OTU_3	0	0	0	0	0	0	0	2.57E-05	0	0	7.71E-05	0	0	2.57E-05	0	0	0	0	0	0	0	2.57E-05	0	0	2.57E-05	0	0	0.000102796	2.57E-05	0	0	0	7.71E-05	2.57E-05	2.57E-05	0	0	0	0	0	5.14E-05	0	7.71E-05	0	0	0	5.14E-05	0	0	0	0	0	0	0	0	0	0	0.000128495	0	2.57E-05	0	0.000462582	0	2.57E-05	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	5.14E-05	0	0
OTU_4	0	0	0	0	0	2.57E-05	0	0	2.57E-05	2.57E-05	0	2.57E-05	0	0	0.000102796	0	0	7.71E-05	2.57E-05	0	0	0	0	2.57E-05	0	0	2.57E-05	2.57E-05	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	2.57E-05	0	0	2.57E-05	0	0	5.14E-05	0	2.57E-05	0	0	0	0	0	0	0	0	5.14E-05	0	0	0	0	0	0	5.14E-05	2.57E-05	2.57E-05	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0.000128495	5.14E-05	2.57E-05
OTU_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0
OTU_10	2.57E-05	0	0.000205592	0.000128495	0	0	0.000385485	0	2.57E-05	0.000205592	5.14E-05	0.000128495	0	7.71E-05	0	0	0	2.57E-05	0.000359786	0.000102796	0	0	0	0	0	0	5.14E-05	0.000102796	5.14E-05	0	0	0	0	0	0	0.000719572	0	2.57E-05	0.000591077	7.71E-05	0	0	0	0	0	0	0.001696135	0	0.000925164	2.57E-05	0	0	7.71E-05	0	0	0.000179893	0	0.000154194	0.000128495	0	2.57E-05	0.000179893	0	0	0	0	7.71E-05	0	0	0	0	0.000205592	0	0	0.000128495	5.14E-05	0	2.57E-05	0	0.000539679	0.001130757	2.57E-05
OTU_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	5.14E-05	0	0	0
OTU_12	0	0	5.14E-05	2.57E-05	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	5.14E-05	0	0	0	0	0	0	5.14E-05	0	0	0	0	0	0	2.57E-05	0	5.14E-05	0	0	2.57E-05	0	0	2.57E-05	0	0	0	0	0	0	0.000102796	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	2.57E-05	5.14E-05	0	0	7.71E-05	0
OTU_13	0	0	0	0	2.57E-05	0	2.57E-05	0	0	0	2.57E-05	2.57E-05	0	2.57E-05	7.71E-05	0	0	2.57E-05	0	5.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.14E-05	0	0	2.57E-05	2.57E-05	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	5.14E-05	2.57E-05	0	0	2.57E-05	2.57E-05	0	0	0	2.57E-05	2.57E-05
OTU_14	0	0	0	2.57E-05	2.57E-05	2.57E-05	0	2.57E-05	2.57E-05	2.57E-05	5.14E-05	5.14E-05	5.14E-05	7.71E-05	0.00025699	0	0	7.71E-05	5.14E-05	0	0	0	0	0	0	0	0	5.14E-05	2.57E-05	0	0	0	0	0	0	0.000154194	2.57E-05	0	0.000154194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.71E-05	2.57E-05	0	2.57E-05	0	2.57E-05	0	0	0	0	0	0	2.57E-05	0	0	0	2.57E-05	0	0.000154194	5.14E-05	2.57E-05	5.14E-05	0.000282689	0	0	0	0.000102796	0.00025699
OTU_15	0.000436883	0	0	2.57E-05	0	0	0	0	0.000282689	0	2.57E-05	5.14E-05	5.14E-05	7.71E-05	5.14E-05	2.57E-05	0	0	0.000102796	0	0	0	0	2.57E-05	0	2.57E-05	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	7.71E-05	0	0	0	0	0	0	0	2.57E-05	0	0.000102796	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	2.57E-05	0	5.14E-05	0	0.000128495	0.000102796	0	0.000616776	2.57E-05	7.71E-05	0	5.14E-05	0	0.000231291	0.000102796
