RB	name	PC1	PC2	MAT	MAP	pH	SOC	TN	TP	NH4+	NO3-	R.OC	R.N	AGB	BGB	BD
RB.101	RB.101	-0.082131957	0.05572119	8.6	282.3	8.55	5.813527892	0.575915459	0.363871312	5.335	13.495	319.2616389	0.556241164	53.12	168.51	1.37
RB.103	RB.103	0.050678667	-0.009395625	9.5	259.8	9.04	2.831169385	0.25332005	0.182657527	4.9085	3.395	372.1518402	1.647396551	61.42	224.26	1.58
RB.112	RB.112	-0.042391217	-0.089481069	6.9	425.5	8.095	27.90605635	2.609112053	0.707862507	11.5045	37.67	233.9032841	0.797810961	691.51	428.29	1
RB.113	RB.113	-0.07870843	-0.001454695	6.9	425.5	8.385	21.44365938	1.777612942	0.50885264	7.763	49.9215	367.3023412	0.670905121	126.86	247.94	1.16
RB.14				9.7	676.4	8.265	14.05390839	1.496211314	0.687519144	13.094	19.8095	336.1263248	0.632115507	275.73	700.33	1.39
RB.16	RB.16	-0.13614431	-0.142880726	10	592.4	8.39	24.55819697	2.329349227	0.616582088	6.9515	15.7195	361.6676895	0.730968391	289.51	636.97	1.2
RB.21	RB.21	-0.164298178	-0.072421559	9.2	506.6	8.805	3.410995736	0.364161964	0.497661112	8.4675	10.4285	331.2188785	0.714182879	121.52	208.12	1.11
RB.24	RB.24	-0.101307365	-0.049651258	8.4	471.9	8.43	5.961638564	0.569873442	0.670703309	8.449	31.8075	307.1838491	0.48167086	391.17	1080.31	1.16
RB.243	RB.243	-0.086513124	0.047065515	10.4	293.9	8.6	8.495705268	1.06363536	0.750002441	6.18	13.875	294.6735843	1.028122135	19.79	922.92	1.2
RB.245	RB.245	-0.039500218	-0.140677677	7.2	377	7.93	25.725	0.8	0.68827204	7.1405	58.356	178.3507516	0.622528953	194.68	1246.2	1.24
RB.246	RB.246	0.008206163	0.070240532	9.7	273.7	8.74	3.653373521	0.406151787	0.689408496	5.8765	7.553	326.2611706	1.002640876	45.28	1778.55	1.35
RB.247	RB.247	-0.132551846	-0.020104554	7.2	377	8.6	7.17991114	0.661179824	0.660929087	9.946	26.0215	322.879732	0.756132096	26.15	615.14	1.43
RB.24G	RB.24G	-0.11377143	-0.031985069	8.4	471.9	8.43	6.990512832	0.808654587	0.547794525	6.3835	12.342	312.6679661	0.987802297	26.15	615.14	1.3
RB.25	RB.25	-0.13635073	0.057751416	8.2	442.6	8.56	6.536416802	0.8	0.533412691	5.8705	11.9395	332.9331943	0.658694025	140.31	1270.93	1.16
RB.252	RB.252	-0.079592464	0.155578486	9.4	223.9	7.705	2.469046181	0.289595833	0.544240077	7.6895	12.9075	220.4323539	0.586765164	49.34	867.79	1.23
RB.253	RB.253	0.120512705	0.163988011	8.9	191.8	8.86	7.728889712	0.864904995	0.67723	5.698	26.926	513.2868794	0.297451687	32.61	433.01	1.18
RB.260	RB.260	0.071808449	0.126110408	9.1	179.7	8.22	12.82112792	1.038685047	0.767708215	5.066	14.805	383.8365436	1.294558843	37.37	233.69	1.37
RB.27	RB.27	-0.137849814	-0.011642689	8.8	324.5	8.765	3.88468729	0.392186009	0.406385441	4.327	7.2965	519.3540831	0.984373344	94.77	363.84	1.52
RB.313	RB.313	-0.004650353	0.111501688	10.4	293.9	8.555	4.63451512	0.514663718	0.756005528	8.106	18.2545	338.2441045	1.080905726	104.13	2731.02	1.12
RB.36	RB.36	-0.081251572	-0.06724645	8.8	324.5	7.405	7.839609042	0.826212907	0.541211933	10.775	9.686	441.147541	0.918673941	167.77	2019.05	1.22
RB.4	RB.4	-0.021005755	-0.201603816	11.1	572.7	7.2	30.8402618	3.027208516	0.909314014	6.693	50.7955	304.3434466	1.35166546	269.16	912.71	1.15
RB.416	RB.416	0.143462284	0.159636367	8.9	191.8	8.505	5.646826522	0.639887296	0.512742434	8.126	7.3065	418.8333279	1.001066153	90.6	236.83	1.42
RB.418	RB.418	0.132852881	0.199757371	10.4	293.9	8.245	8.093043011	1.022720171	0.637516811	6.634	98.3765	393.5135195	1.19189846	124.57	99.97	1.05
RB.419	RB.419	-0.071247225	0.119663153	7.4	245.8	8.75	8.038707247	0.773933179	0.5	6.115	14.686	379.6497765	0.933728938	76.57	89.07	1.14
RB.41B	RB.41B	-0.123493576	-0.02635235	8.8	324.5	8.45	9.699656737	0.865254345	0.373655345	8.4525	11.5765	387.3426783	0.932673548	153.92	375.58	1.18
RB.41D	RB.41D	-0.096046203	0.033791773	8.8	324.5	8.41	10.86069419	1.060081843	0.573633637	5.994	17.157	349.5515853	0.094308129	153.92	375.58	1.2
RB.42	RB.42	0.257770625	-0.009135548	8.8	324.5	8.46	5.243032839	0.697354344	0.571184482	5.94	12.769	308.3711583	0.658758294	93.14	584.22	1.24
