otuId	RJ.101	RJ.103	RJ.112	RJ.113	RJ.14	RJ.16	RJ.21	RJ.24	RJ.243	RJ.245	RJ.246	RJ.247	RJ.24G	RJ.25	RJ.252	RJ.253	RJ.260	RJ.27	RJ.313	RJ.36	RJ.4	RJ.416	RJ.418	RJ.419	RJ.41B	RJ.41D	RJ.42	RJ.420	RJ.424	RJ.488	RJ.50	RJ.512	RJ.513	RJ.514	RJ.517	RJ.524	RJ.526	RJ.527	RJ.534	RJ.542	RJ.55	RJ.558	RJ.56	RJ.563	RJ.565	RJ.566	RJ.567	RJ.569C	RJ.569Z	RJ.57	RJ.570	RJ.571	RJ.575	RJ.577	RJ.578	RJ.579	RJ.58	RJ.59	RJ.6	RJ.60	RJ.600	RJ.61	RJ.67	RJ.69	RJ.72	RJ.74	RJ.76	RJ.79	RJ.82	RJ.87	RJ.88	RJ.9	RJ.90	RJ.91	RJ.93	RJ.94	RJ.B001	RJ.B002	RJ.B003	RJ.B583	RJ.B585	RJ.B585T
OTU_1	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	7.71E-05	0	0.000102796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0
OTU_4	2.57E-05	0.000128495	0	5.14E-05	0	2.57E-05	0	5.14E-05	2.57E-05	0	0	5.14E-05	0.000128495	2.57E-05	0	0	2.57E-05	0.000102796	0	2.57E-05	2.57E-05	0	0	2.57E-05	0	0	2.57E-05	2.57E-05	7.71E-05	0.000154194	0.000128495	2.57E-05	5.14E-05	5.14E-05	5.14E-05	0	2.57E-05	0.000128495	2.57E-05	2.57E-05	0.000154194	5.14E-05	7.71E-05	0.000102796	5.14E-05	0.000359786	2.57E-05	2.57E-05	7.71E-05	7.71E-05	2.57E-05	5.14E-05	0.000128495	2.57E-05	2.57E-05	2.57E-05	0	5.14E-05	0	2.57E-05	0	0	0	2.57E-05	2.57E-05	5.14E-05	2.57E-05	2.57E-05	2.57E-05	0	0	0	0	0	0	2.57E-05	7.71E-05	0.000128495	7.71E-05	2.57E-05	5.14E-05	0
OTU_6	0	5.14E-05	0	0	0	0	0	2.57E-05	0	0	0	2.57E-05	5.14E-05	7.71E-05	0	0	0	5.14E-05	0	0	0	0	0	0	2.57E-05	0	0	0	0	2.57E-05	2.57E-05	0	0	5.14E-05	0	2.57E-05	2.57E-05	0	0	0	0	2.57E-05	0	2.57E-05	0	0	0	2.57E-05	7.71E-05	0	0	7.71E-05	2.57E-05	2.57E-05	2.57E-05	0.000102796	0	0	2.57E-05	0	7.71E-05	0	2.57E-05	5.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	5.14E-05	7.71E-05	2.57E-05	0.000179893	5.14E-05	2.57E-05
OTU_10	0	0	0	0	2.57E-05	0	0	7.71E-05	0	0	0	0	0	2.57E-05	0	0	0	2.57E-05	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.14E-05	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	5.14E-05	0	0	0	0	0	5.14E-05	0	0	2.57E-05	0	2.57E-05	0
OTU_11	0	2.57E-05	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	2.57E-05	2.57E-05	0	0	0	0	2.57E-05	0	0	0	2.57E-05	0	2.57E-05	2.57E-05	0	0	0	0	7.71E-05	2.57E-05	2.57E-05	0	0	0	7.71E-05	0	0	0	0	2.57E-05	0	0	0	2.57E-05	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	5.14E-05	2.57E-05	2.57E-05	0	2.57E-05	2.57E-05	0	2.57E-05	0	0	0	0	2.57E-05	5.14E-05	7.71E-05	0	0	0	0
OTU_12	0	7.71E-05	5.14E-05	2.57E-05	2.57E-05	0.000128495	0	2.57E-05	0	0	0	0	2.57E-05	7.71E-05	0	0	0	2.57E-05	0	0.000154194	2.57E-05	0	0	0	7.71E-05	0.000102796	2.57E-05	0	7.71E-05	2.57E-05	2.57E-05	0.000128495	5.14E-05	5.14E-05	2.57E-05	0.000128495	5.14E-05	0.000179893	2.57E-05	5.14E-05	0.000128495	0.000179893	0	7.71E-05	5.14E-05	0.000128495	7.71E-05	0	0.000205592	5.14E-05	0.000128495	5.14E-05	0.000205592	7.71E-05	5.14E-05	0.000128495	2.57E-05	0.000128495	0.000102796	0	0.000205592	0.000102796	7.71E-05	2.57E-05	5.14E-05	0	0	0.000128495	0	7.71E-05	0.000308388	2.57E-05	0	0	0	2.57E-05	2.57E-05	0	5.14E-05	0.00025699	0.000102796	2.57E-05
OTU_13	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	7.71E-05	0	0	0	0	7.71E-05	0	0	0	0	2.57E-05	2.57E-05	0	0	5.14E-05	2.57E-05	0	2.57E-05	0	7.71E-05	0	0	0.000102796	0	0	2.57E-05	5.14E-05	0	7.71E-05	2.57E-05	5.14E-05	0	0	2.57E-05	0	2.57E-05	2.57E-05	2.57E-05	0	0	2.57E-05	0	5.14E-05	5.14E-05	0	0	7.71E-05	0	0	0	0	0	5.14E-05	2.57E-05	0	5.14E-05	2.57E-05	0	2.57E-05	0	0	5.14E-05	2.57E-05	5.14E-05	0.000102796	2.57E-05	0	2.57E-05	5.14E-05
OTU_14	0	5.14E-05	0	0	0	0	0	0	0	0	0	0	0.000102796	2.57E-05	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	5.14E-05	0	0	2.57E-05	0	0	5.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05
OTU_15	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	2.57E-05	0	0	2.57E-05	0	0	0	0	0	0	0	0	0
