#sampleID	Description	Env	SourceSink	Study	Details
R.101	R.101	Endosp.	sink	Desert steppe	PCR_water_sample_1_2010_04_30_run
R.103	R.103	Endosp.	sink	Desert steppe	PCR_water_sample_2_2010_04_30_run
R.104	R.104	Endosp.	sink	Desert steppe	PCR_water_sample_3_2010_04_30_run
R.112	R.112	Endosp.	sink	Temperate grassland	PCR_water_sample_4_2010_04_30_run
R.113	R.113	Endosp.	sink	Temperate grassland	PCR_water_sample_5_2010_04_30_run
R.14	R.14	Endosp.	sink	Warm-temperate grassland	Autoclaved_and_flamed_scissor_swab_sample_2010_04_30_run
R.16	R.16	Endosp.	sink	Warm-temperate grassland	Autoclaved_scissor_swab_sample_2010_04_30_run
R.21	R.21	Endosp.	sink	Warm-temperate grassland	Sterile_swab_sample_4_2010_04_30_run
R.24	R.24	Endosp.	sink	Temperate grassland	Sterile_swab_sample_5_2010_04_30_run
R.243	R.243	Endosp.	sink	Temperate grassland	Sterile_swab_sample_3_2010_04_30_run
R.245	R.245	Endosp.	sink	Temperate grassland	Sterile_swab_sample_1_2010_04_30_run
R.246	R.246	Endosp.	sink	Temperate grassland	Sterile_swab_sample_2_2010_04_30_run
R.247	R.247	Endosp.	sink	Temperate grassland	PCR_water_sample_1_2010_05_24_run
R.24G	R.24G	Endosp.	sink	Temperate grassland	PCR_water_sample_2_2010_05_24_run
R.25	R.25	Endosp.	sink	Temperate grassland	PCR_water_sample_3_2010_05_24_run
R.252	R.252	Endosp.	sink	Desert steppe	PCR_water_sample_4_2010_05_24_run
R.253	R.253	Endosp.	sink	Desert steppe	PCR_water_sample_5_2010_05_24_run
R.260	R.260	Endosp.	sink	Desert steppe	Sterile_swab_sample_2_2010_05_24_run
R.27	R.27	Endosp.	sink	Temperate grassland	Sterile_swab_sample_3_2010_05_24_run
R.313	R.313	Endosp.	sink	Desert steppe	Sterile_swab_sample_4_2010_05_24_run
R.36	R.36	Endosp.	sink	Temperate grassland	Sterile_swab_sample_5_2010_05_24_run
R.4	R.4	Endosp.	sink	Warm-temperate grassland	Autoclaved_and_flamed_scissor_swab_sample_2010_05_24_run
R.416	R.416	Endosp.	sink	Desert steppe	Autoclaved_scissor_swab_sample_2010_05_24_run
R.418	R.418	Endosp.	sink	Desert steppe	Sterile_swab_sample_1_2010_05_24_run
R.419	R.419	Endosp.	sink	Desert steppe	Bench_Lab_B
R.41B	R.41B	Endosp.	sink	Temperate grassland	Bench_Lab_B
R.41D	R.41D	Endosp.	sink	Temperate grassland	Bench_Lab_B
R.42	R.42	Endosp.	sink	Temperate grassland	DoorHandle_Lab_B
R.420	R.420	Endosp.	sink	Desert steppe	HoodBay_Lab_A
R.424	R.424	Endosp.	sink	Desert steppe	HoodBench_Lab_B
