sampleID	part	type
R.101	Endosp.	Desert steppe
R.103	Endosp.	Desert steppe
R.104	Endosp.	Desert steppe
R.112	Endosp.	Temperate grassland
R.113	Endosp.	Temperate grassland
R.14	Endosp.	Warm-temperate grassland
R.16	Endosp.	Warm-temperate grassland
R.21	Endosp.	Warm-temperate grassland
R.24	Endosp.	Temperate grassland
R.243	Endosp.	Temperate grassland
R.245	Endosp.	Temperate grassland
R.246	Endosp.	Temperate grassland
R.247	Endosp.	Temperate grassland
R.24G	Endosp.	Temperate grassland
R.25	Endosp.	Temperate grassland
R.252	Endosp.	Desert steppe
R.253	Endosp.	Desert steppe
R.260	Endosp.	Desert steppe
R.27	Endosp.	Temperate grassland
R.313	Endosp.	Desert steppe
R.36	Endosp.	Temperate grassland
R.4	Endosp.	Warm-temperate grassland
R.416	Endosp.	Desert steppe
R.418	Endosp.	Desert steppe
R.419	Endosp.	Desert steppe
R.41B	Endosp.	Temperate grassland
R.41D	Endosp.	Temperate grassland
R.42	Endosp.	Temperate grassland
R.420	Endosp.	Desert steppe
R.424	Endosp.	Desert steppe
R.488	Endosp.	Warm-temperate grassland
R.50	Endosp.	Temperate grassland
R.512	Endosp.	Warm-temperate grassland
R.513	Endosp.	Warm-temperate grassland
R.514	Endosp.	Warm-temperate grassland
R.517	Endosp.	Warm-temperate grassland
R.524	Endosp.	Temperate grassland
R.526	Endosp.	Temperate grassland
R.527	Endosp.	Warm-temperate grassland
R.534	Endosp.	Warm-temperate grassland
R.54	Endosp.	Temperate grassland
R.542	Endosp.	Temperate grassland
R.55	Endosp.	Temperate grassland
R.558	Endosp.	Warm-temperate grassland
R.56	Endosp.	Temperate grassland
R.563	Endosp.	Warm-temperate grassland
R.565	Endosp.	Temperate grassland
R.566	Endosp.	Warm-temperate grassland
R.567	Endosp.	Warm-temperate grassland
R.569C	Endosp.	Temperate grassland
R.569Z	Endosp.	Temperate grassland
R.57	Endosp.	Temperate grassland
R.570	Endosp.	Temperate grassland
R.571	Endosp.	Warm-temperate grassland
R.575	Endosp.	Warm-temperate grassland
R.577	Endosp.	Warm-temperate grassland
R.578	Endosp.	Warm-temperate grassland
R.579	Endosp.	Warm-temperate grassland
R.58	Endosp.	Temperate grassland
R.585	Endosp.	Warm-temperate grassland
R.585T	Endosp.	Warm-temperate grassland
R.59	Endosp.	Temperate grassland
R.6	Endosp.	Warm-temperate grassland
R.60	Endosp.	Warm-temperate grassland
R.600	Endosp.	Warm-temperate grassland
R.61	Endosp.	Warm-temperate grassland
R.67	Endosp.	Warm-temperate grassland
R.69	Endosp.	Temperate grassland
R.72	Endosp.	Temperate grassland
R.74	Endosp.	Desert steppe
R.76	Endosp.	Desert steppe
R.79	Endosp.	Desert steppe
R.82	Endosp.	Desert steppe
R.87	Endosp.	Desert steppe
R.88	Endosp.	Desert steppe
R.9	Endosp.	Warm-temperate grassland
R.90	Endosp.	Desert steppe
R.91	Endosp.	Desert steppe
R.93	Endosp.	Desert steppe
R.94	Endosp.	Desert steppe
R.B001	Endosp.	Temperate grassland
R.B002	Endosp.	Desert steppe
R.B003	Endosp.	Temperate grassland
R.B583	Endosp.	Warm-temperate grassland
RB.101	Rhizopl.	Desert steppe
RB.103	Rhizopl.	Desert steppe
RB.104	Rhizopl.	Desert steppe
RB.112	Rhizopl.	Temperate grassland
RB.113	Rhizopl.	Temperate grassland
RB.14	Rhizopl.	Warm-temperate grassland
RB.16	Rhizopl.	Warm-temperate grassland
RB.21	Rhizopl.	Warm-temperate grassland
RB.24	Rhizopl.	Temperate grassland
RB.243	Rhizopl.	Temperate grassland
RB.245	Rhizopl.	Temperate grassland
RB.246	Rhizopl.	Temperate grassland
RB.247	Rhizopl.	Temperate grassland
RB.24G	Rhizopl.	Temperate grassland
RB.25	Rhizopl.	Temperate grassland
RB.252	Rhizopl.	Desert steppe
RB.253	Rhizopl.	Desert steppe
RB.260	Rhizopl.	Desert steppe
RB.27	Rhizopl.	Temperate grassland
RB.313	Rhizopl.	Desert steppe
RB.36	Rhizopl.	Temperate grassland
RB.4	Rhizopl.	Warm-temperate grassland
RB.416	Rhizopl.	Desert steppe
RB.418	Rhizopl.	Desert steppe
RB.419	Rhizopl.	Desert steppe
RB.41B	Rhizopl.	Temperate grassland
RB.41D	Rhizopl.	Temperate grassland
RB.42	Rhizopl.	Temperate grassland
RB.420	Rhizopl.	Desert steppe
RB.424	Rhizopl.	Desert steppe
RB.488	Rhizopl.	Warm-temperate grassland
RB.50	Rhizopl.	Temperate grassland
RB.512	Rhizopl.	Warm-temperate grassland
RB.513	Rhizopl.	Warm-temperate grassland
