	R_RJ	R_RB	R-S	RB-RJ	RB-S	RJ-S	MAP	type
R.101	0.589526323	0.47243324	0.577928663	0.605436809	0.510363784	0.63565331	282.3	Desert steppe
R.103	0.709718758	0.697095763	0.794115522	0.511894774	0.582791232	0.615162594	259.8	Desert steppe
R.104	0.594667865	0.53619512	0.595108398	0.602697644	0.676040642	0.669845452	282.3	Desert steppe
R.112	0.605736003	0.520343333	0.589531621	0.59517932	0.527753085	0.66643041	425.5	Temperate grassland
R.113	0.604967495	0.490245252	0.54169001	0.572225624	0.492104155	0.619869665	425.5	Temperate grassland
R.14	0.640254648	0.614622434	0.647164745	0.391313464	0.454869426	0.423045679	676.4	Warm-temperate grassland
R.16	0.634059007	0.645383635	0.683867099	0.442280099	0.474158991	0.517942321	592.4	Warm-temperate grassland
R.21	0.66270281	0.643675934	0.676030296	0.797836644	0.460103024	0.798715688	506.6	Warm-temperate grassland
R.24	0.725070384	0.723899235	0.767937553	0.444300667	0.488684373	0.496660398	471.9	Temperate grassland
R.243	0.55875407	0.528462364	0.576418039	0.559644875	0.440268844	0.565798141	293.9	Temperate grassland
R.245	0.623941559	0.484831443	0.539204155	0.595830746	0.499675087	0.651992426	377	Temperate grassland
R.246	0.632106435	0.665492513	0.726659001	0.648189516	0.493626656	0.716586339	273.7	Temperate grassland
R.247	0.600499729	0.586940409	0.626150034	0.599243359	0.486047262	0.605697858	377	Temperate grassland
R.24G	0.7337329	0.728330411	0.757927555	0.444846694	0.514261258	0.469740128	471.9	Temperate grassland
R.25	0.618022502	0.580197056	0.621195645	0.401044426	0.455498896	0.454013642	442.6	Temperate grassland
R.252	0.564107131	0.567681284	0.641975554	0.646927399	0.472566038	0.70448923	223.9	Desert steppe
R.253	0.581356617	0.559192604	0.687755163	0.565158672	0.608288049	0.68422727	191.8	Desert steppe
R.260	0.708446312	0.727642209	0.824769357	0.558996999	0.614627318	0.658327379	179.7	Desert steppe
R.27	0.544360227	0.545090131	0.582040463	0.415007015	0.458612721	0.413304599	324.5	Temperate grassland
R.313	0.594717028	0.62302075	0.703285401	0.609608441	0.521330762	0.699020449	293.9	Desert steppe
R.36	0.520061239	0.455668957	0.564735963	0.475815156	0.488776421	0.495915644	324.5	Temperate grassland
R.4	0.583297408	0.565359499	0.602833851	0.440424556	0.491762082	0.543431173	572.7	Warm-temperate grassland
R.416	0.649749433	0.723087554	0.793466701	0.588483457	0.59863841	0.664291458	191.8	Desert steppe
R.418	0.712278973	0.676341872	0.774053361	0.423293692	0.544554967	0.492543826	293.9	Desert steppe
